Keyword,Emotion Category
happy,Joy / Happiness / Playful
cheerful,Joy / Happiness / Playful
excited,Joy / Happiness / Playful
fun,Joy / Happiness / Playful
laughter,Joy / Happiness / Playful
giggle,Joy / Happiness / Playful
playful,Joy / Happiness / Playful
amused,Joy / Happiness / Playful
optimistic,Joy / Happiness / Playful
delighted,Joy / Happiness / Playful
bubbly,Joy / Happiness / Playful
bright,Joy / Happiness / Playful
gleeful,Joy / Happiness / Playful
jubilant,Joy / Happiness / Playful
energetic,Joy / Happiness / Playful
vibrant,Joy / Happiness / Playful
sad,Sadness / Sorrow / Dusk
sorrow,Sadness / Sorrow / Dusk
gloomy,Sadness / Sorrow / Dusk
down,Sadness / Sorrow / Dusk
depressed,Sadness / Sorrow / Dusk
teary,Sadness / Sorrow / Dusk
blue,Sadness / Sorrow / Dusk
somber,Sadness / Sorrow / Dusk
melancholic,Sadness / Sorrow / Dusk
heartbroken,Sadness / Sorrow / Dusk
mournful,Sadness / Sorrow / Dusk
weary,Sadness / Sorrow / Dusk
dull,Sadness / Sorrow / Dusk
dim,Sadness / Sorrow / Dusk
wistful,Sadness / Sorrow / Dusk
despair,Sadness / Sorrow / Dusk
dreary,Sadness / Sorrow / Dusk
affectionate,Love / Blush / Tender
caring,Love / Blush / Tender
romantic,Love / Blush / Tender
passion,Love / Blush / Tender
adore,Love / Blush / Tender
cherish,Love / Blush / Tender
sweet,Love / Blush / Tender
kiss,Love / Blush / Tender
cuddle,Love / Blush / Tender
blush,Love / Blush / Tender
warmth,Love / Blush / Tender
flirt,Love / Blush / Tender
intimacy,Love / Blush / Tender
longing,Love / Blush / Tender
compassion,Love / Blush / Tender
devotion,Love / Blush / Tender
enamored,Love / Blush / Tender
fierce,Power / Anger / Strength
angry,Power / Anger / Strength
rage,Power / Anger / Strength
aggressive,Power / Anger / Strength
dominant,Power / Anger / Strength
bold,Power / Anger / Strength
brave,Power / Anger / Strength
fearless,Power / Anger / Strength
intense,Power / Anger / Strength
force,Power / Anger / Strength
storm,Power / Anger / Strength
flame,Power / Anger / Strength
determined,Power / Anger / Strength
assertive,Power / Anger / Strength
mighty,Power / Anger / Strength
warrior,Power / Anger / Strength
surge,Power / Anger / Strength
command,Power / Anger / Strength
calm,Peace / Calm / Serenity
serene,Peace / Calm / Serenity
tranquil,Peace / Calm / Serenity
quiet,Peace / Calm / Serenity
still,Peace / Calm / Serenity
relaxed,Peace / Calm / Serenity
ease,Peace / Calm / Serenity
mellow,Peace / Calm / Serenity
harmony,Peace / Calm / Serenity
gentle,Peace / Calm / Serenity
soothing,Peace / Calm / Serenity
balanced,Peace / Calm / Serenity
meditative,Peace / Calm / Serenity
composed,Peace / Calm / Serenity
breath,Peace / Calm / Serenity
zen,Peace / Calm / Serenity
surprised,Surprise / Wonder / Party
amazed,Surprise / Wonder / Party
awe,Surprise / Wonder / Party
party,Surprise / Wonder / Party
unexpected,Surprise / Wonder / Party
gasp,Surprise / Wonder / Party
spark,Surprise / Wonder / Party
shock,Surprise / Wonder / Party
fascinated,Surprise / Wonder / Party
magical,Surprise / Wonder / Party
confetti,Surprise / Wonder / Party
pop,Surprise / Wonder / Party
disco,Surprise / Wonder / Party
curious,Surprise / Wonder / Party
dazzle,Surprise / Wonder / Party
sparkle,Surprise / Wonder / Party
neutral,Neutral / Stability / Clarity
balanced,Neutral / Stability / Clarity
steady,Neutral / Stability / Clarity
objective,Neutral / Stability / Clarity
clarity,Neutral / Stability / Clarity
moderate,Neutral / Stability / Clarity
simplicity,Neutral / Stability / Clarity
consistent,Neutral / Stability / Clarity
plain,Neutral / Stability / Clarity
simple,Neutral / Stability / Clarity
straightforward,Neutral / Stability / Clarity
transparent,Neutral / Stability / Clarity
average,Neutral / Stability / Clarity
centered,Neutral / Stability / Clarity
routine,Neutral / Stability / Clarity
standard,Neutral / Stability / Clarity
trust,Trust / Security / Tech
safe,Trust / Security / Tech
secure,Trust / Security / Tech
reliable,Trust / Security / Tech
credible,Trust / Security / Tech
confidence,Trust / Security / Tech
integrity,Trust / Security / Tech
honest,Trust / Security / Tech
dependable,Trust / Security / Tech
authentic,Trust / Security / Tech
guarantee,Trust / Security / Tech
stronghold,Trust / Security / Tech
encrypted,Trust / Security / Tech
verified,Trust / Security / Tech
support,Trust / Security / Tech
shield,Trust / Security / Tech
fear,Fear / Anxiety / Anxious
scared,Fear / Anxiety / Anxious
anxious,Fear / Anxiety / Anxious
worry,Fear / Anxiety / Anxious
panic,Fear / Anxiety / Anxious
dread,Fear / Anxiety / Anxious
nervous,Fear / Anxiety / Anxious
terrified,Fear / Anxiety / Anxious
alarm,Fear / Anxiety / Anxious
threat,Fear / Anxiety / Anxious
danger,Fear / Anxiety / Anxious
uneasy,Fear / Anxiety / Anxious
nightmare,Fear / Anxiety / Anxious
stressful,Fear / Anxiety / Anxious
tense,Fear / Anxiety / Anxious
afraid,Fear / Anxiety / Anxious
jittery,Fear / Anxiety / Anxious
horror,Fear / Anxiety / Anxious
doubt,Fear / Anxiety / Anxious
